epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.724,0.44902,1.37338,0.93495,0.99313,1,0.995,0.89901,0.41001,1.94921,0.90336,0.000652174,0.000652174,0.000652174
2,702.644,0.46357,0.87411,0.91561,0.99256,1,0.995,0.89088,0.45273,1.30662,0.93721,0.00130578,0.00130578,0.00130578
3,1032.46,0.4876,0.74778,0.91711,0.99755,1,0.995,0.90549,0.43788,0.9372,0.91209,0.00194619,0.00194619,0.00194619
4,1358.15,0.44093,0.60861,0.90169,0.99747,1,0.995,0.90554,0.42476,0.70382,0.9235,0.0019406,0.0019406,0.0019406
5,1721.72,0.42603,0.53586,0.90254,0.99274,1,0.995,0.9338,0.37442,0.61116,0.87508,0.0019208,0.0019208,0.0019208
6,2055.33,0.40326,0.47433,0.88444,0.9974,1,0.995,0.91779,0.3548,0.49086,0.8576,0.001901,0.001901,0.001901
7,2415.16,0.38118,0.4269,0.88668,0.87004,0.95918,0.96209,0.86303,0.43623,0.68776,0.88467,0.0018812,0.0018812,0.0018812
8,2757.58,0.37286,0.40145,0.8744,0.9874,1,0.995,0.9511,0.31407,0.44595,0.83719,0.0018614,0.0018614,0.0018614
9,3111.63,0.35605,0.38499,0.87576,0.99726,1,0.995,0.93629,0.41307,0.37215,0.88122,0.0018416,0.0018416,0.0018416
10,3452.34,0.35923,0.367,0.88509,0.99777,0.97959,0.9946,0.93665,0.34548,0.39012,0.83469,0.0018218,0.0018218,0.0018218
11,3828.31,0.36176,0.36338,0.88263,0.98604,1,0.995,0.95097,0.35084,0.40208,0.85972,0.001802,0.001802,0.001802
12,4163.12,0.34204,0.36612,0.87849,0.98153,1,0.995,0.94142,0.36793,0.40471,0.8768,0.0017822,0.0017822,0.0017822
